linha;grupo;subgrupo;tipo_mercadoria;fabricante
Remediação;Analisador Diversos;Reposição;Cabo;QED
Remediação;Analisador Diversos;Reposição;Cabo;Thermo
Remediação;Analisador Diversos;Insumo;Filtro;Clean
Remediação;Analisador Diversos;Insumo;Filtro;EDINBURG
Remediação;Analisador Diversos;Insumo;Filtro;HON
Remediação;Analisador Diversos;Insumo;Filtro;QED
Remediação;Analisador Diversos;Insumo;Filtro;Thermo
Remediação;Analisador Diversos;Reposição;Sensor;EDINBURG
Remediação;Analisador Diversos;Reposição;Sensor;Industrial
Remediação;Analisador Diversos;Reposição;Sensor;QED
Remediação;Analisador Diversos;Reposição;Sensor;Thermo
Remediação;Analisador Fixo;Produto;Acessório;QED
Remediação;Analisador Fixo;Produto;Acessório;Thermo
Remediação;Analisador Fixo;Produto;Biogas;
Remediação;Analisador Fixo;Produto;Biogas;Clean
Remediação;Analisador Fixo;Produto;Biogas;QED
Remediação;Analisador Fixo;Produto;GT;Thermo
Remediação;Analisador Fixo;Produto;INNOVA;Thermo
Remediação;Analisador Fixo;Produto;Midas;HON
Remediação;Analisador Fixo;Produto;Painel de Controle;Clean
Remediação;Analisador Fixo;Produto;Sistema;Thermo
Remediação;Analisador Fixo;Produto;TVOC;HON
Remediação;Analisador Fixo;Produto;TVOC;ION
Remediação;Analisador Portátil;Produto;Acessório;Clean
Remediação;Analisador Portátil;Produto;Acessório;HON
Remediação;Analisador Portátil;Produto;Acessório;QED
Remediação;Analisador Portátil;Produto;Acessório;Thermo
Remediação;Analisador Portátil;Produto;Estação;HON
Remediação;Analisador Portátil;Produto;G100;QED
Remediação;Analisador Portátil;Produto;GASCARD;EDINBURG
Remediação;Analisador Portátil;Produto;Gascheck;EDINBURG
Remediação;Analisador Portátil;Produto;GEM;
Remediação;Analisador Portátil;Produto;GEM;QED
Remediação;Analisador Portátil;Produto;Guardian;EDINBURG
Remediação;Analisador Portátil;Produto;Metalyser;Trace2o
Remediação;Analisador Portátil;Produto;METREX;
Remediação;Analisador Portátil;Produto;METREX;QED
Remediação;Analisador Portátil;Produto;MIRAN;Thermo
Remediação;Analisador Portátil;Produto;PDR1500;Thermo
Remediação;Analisador Portátil;Produto;Tiger;
Remediação;Analisador Portátil;Produto;Tiger;Clean
Remediação;Analisador Portátil;Produto;Tiger;ION
Remediação;Analisador Portátil;Produto;TVA;
Remediação;Analisador Portátil;Produto;TVA;Thermo
Remediação;Aterramento Diversos;Produto;Sistema;Campbell
Remediação;BOMBA DE AMOSTRAGEM Fixo;Produto;Bomba;QED
Remediação;BOMBA DE AMOSTRAGEM Fixo;Produto;SAMPLEASE;QED
Remediação;BOMBA DE AMOSTRAGEM Fixo;Produto;Sample Pro;QED
Remediação;Bombeamento Fixo;Produto;Sistema;Clean
Remediação;Caixa Separadora Fixo;Produto;Acessório;
Remediação;Caixa Separadora Fixo;Produto;OWS;
Remediação;Caixa Separadora Fixo;Produto;OWS;Clean
Remediação;Calibração Diversos;Insumo;Cilindro;ISCO
Remediação;Calibração Diversos;Insumo;Solução;Trace2o
Remediação;Cromatógrafo Portátil;Produto;Acessório;DFT
Remediação;Cromatógrafo Portátil;Reposição;Acessório;DFT
Remediação;Cromatógrafo Portátil;Produto;FROG;
Remediação;Cromatógrafo Portátil;Produto;FROG;DFT
Remediação;Cromatógrafo Portátil;Produto;Sensor;
Remediação;Cromatógrafo Portátil;Produto;Sensor;DFT
Remediação;Detector Portátil;Produto;EAGLE;AMBIENTAL
Remediação;Diversos Diversos;Serviço;Calibração;Clean
Remediação;Diversos Diversos;Insumo;Diversos;Clean
Remediação;Diversos Diversos;Insumo;Ferramental;AMS
Remediação;Diversos Diversos;Serviço;Hora Técnica;Clean
Remediação;Elevador de Liquidos Fixo;Insumo;Acessório;Clean
Remediação;Elevador de Liquidos Fixo;Produto;Acessório;
Remediação;Elevador de Liquidos Fixo;Produto;Acessório;Clean
Remediação;Elevador de Liquidos Fixo;Produto;Acessório;QED
Remediação;Elevador de Liquidos Fixo;Reposição;Acessório;
Remediação;Elevador de Liquidos Fixo;Reposição;Acessório;CHP
Remediação;Elevador de Liquidos Fixo;Reposição;Acessório;Clean
Remediação;Elevador de Liquidos Fixo;Reposição;Acessório;QED
Remediação;Elevador de Liquidos Fixo;Reposição;Anel;Clean
Remediação;Elevador de Liquidos Fixo;Reposição;Anel;QED
Remediação;Elevador de Liquidos Fixo;Produto;Auto Pump;
Remediação;Elevador de Liquidos Fixo;Produto;Auto Pump;Clean
Remediação;Elevador de Liquidos Fixo;Produto;Auto Pump;QED
Remediação;Elevador de Liquidos Fixo;Produto;Bomba;QED
